iter	RMSE
0	3.376249636
1	3.123030903
2	2.888803576
3	2.6721433
4	2.471732544
5	2.286352596
6	2.114876144
7	1.956260427
8	1.809540889
9	1.673825317
10	1.548288414
11	1.432166778
12	1.324754265
13	1.225397691
14	1.133492861
15	1.048480893
16	0.9698448229
17	0.8971064583
18	0.8298234712
19	0.7675867084
20	0.710017703
21	0.6567663732
22	0.6075088932
23	0.5619457244
24	0.5197997934
25	0.4808148074
26	0.4447536954
27	0.4113971669
28	0.3805423782
29	0.3520016987
30	0.3256015702
31	0.3011814515
32	0.2785928417
33	0.2576983778
34	0.2383709987
35	0.220493173
36	0.2039561844
37	0.18865947
38	0.1745100092
39	0.161421758
40	0.1493151256
41	0.1381164908
42	0.1277577535
43	0.1181759216
44	0.1093127272
45	0.1011142723
46	0.09353070158
47	0.08651589868
48	0.08002720603
49	0.07402516533
50	0.06847327771
51	0.06333778168
52	0.05858744787
53	0.0541933891
54	0.05012888476
55	0.04636921825
56	0.04289152674
57	0.03967466211
58	0.03669906233
59	0.03394663255
60	0.03140063501
61	0.02904558729
62	0.02686716816
63	0.02485213046
64	0.0229882206
65	0.02126410399
66	0.01966929613
67	0.01819409886
68	0.01682954139
69	0.01556732574
70	0.01439977626
71	0.013319793
72	0.01232080848
73	0.01139674781
74	0.01054199169
75	0.009751342282
76	0.009019991582
77	0.008343492186
78	0.007717730248
79	0.007138900456
80	0.006603482901
81	0.006108221663
82	0.00565010502
83	0.005226347127
84	0.004834371077
85	0.004471793232
86	0.004136408726
87	0.003826178059
88	0.003539214693
89	0.003273773581
90	0.003028240553
91	0.002801122502
92	0.002591038306
93	0.002396710425
94	0.002216957136
95	0.002050685345
96	0.001896883938
97	0.001754617637
98	0.001623021309
99	0.001501294706
100	0.001388697598
101	0.001284545274
102	0.001188204375
103	0.001099089043
104	0.001016657362
105	0.0009404080565
106	0.0008698774495
107	0.0008046366382
108	0.0007442888879
109	0.0006884672191
110	0.0006368321756
111	0.0005890697605
112	0.0005448895267
113	0.0005040228106
114	0.0004662210983
115	0.0004312545146
116	0.0003989104247
117	0.0003689921416
118	0.0003413177299
119	0.0003157188992
120	0.0002920399808
121	0.0002701369813
122	0.0002498767069
123	0.0002311359532
124	0.000213800756
125	0.0001977656987
126	0.0001829332707
127	0.0001692132748
128	0.0001565222787
129	0.0001447831073
130	0.0001339243739
131	0.0001238800454
132	0.0001145890416
133	0.0001059948632
134	9.804524813e-05
135	9.069185423e-05
136	8.388996489e-05
137	7.759821727e-05
138	7.177835074e-05
139	6.639497422e-05
140	6.141535096e-05
141	5.680919945e-05
142	5.254850932e-05
143	4.860737097e-05
144	4.4961818e-05
145	4.158968152e-05
146	3.847045528e-05
147	3.558517102e-05
148	3.291628308e-05
149	3.044756175e-05
150	2.816399453e-05
151	2.605169486e-05
152	2.409781766e-05
153	2.229048127e-05
154	2.061869511e-05
155	1.907229291e-05
156	1.764187089e-05
157	1.631873052e-05
158	1.509482568e-05
159	1.396271371e-05
160	1.291551014e-05
161	1.194684684e-05
162	1.105083329e-05
163	1.022202076e-05
164	9.455369174e-06
165	8.746216459e-06
166	8.090250198e-06
167	7.483481408e-06
168	6.92222028e-06
169	6.403053739e-06
170	5.922824688e-06
171	5.478612817e-06
172	5.067716838e-06
173	4.687638061e-06
174	4.336065192e-06
175	4.010860291e-06
176	3.710045757e-06
177	3.431792315e-06
178	3.17440788e-06
179	2.936327281e-06
180	2.716102728e-06
181	2.512395014e-06
182	2.323965379e-06
183	2.149667967e-06
