iter	Passed	Remaining
0	0	118
1	0	92
2	0	78
3	0	73
4	0	67
5	0	65
6	0	62
7	0	60
8	0	60
9	0	58
10	0	58
11	0	60
12	0	59
13	0	58
14	0	57
15	0	57
16	0	56
17	1	56
18	1	56
19	1	55
20	1	55
21	1	55
22	1	55
23	1	55
24	1	54
25	1	54
26	1	54
27	1	54
28	1	53
29	1	53
30	1	53
31	1	53
32	1	54
33	1	54
34	1	54
35	2	54
36	2	54
37	2	55
38	2	54
39	2	54
40	2	55
41	2	55
42	2	55
43	2	55
44	2	55
45	2	55
46	2	55
47	2	54
48	2	54
49	2	54
50	2	54
51	2	53
52	3	53
53	3	53
54	3	53
55	3	53
56	3	53
57	3	52
58	3	52
59	3	52
60	3	52
61	3	52
62	3	52
63	3	52
64	3	52
65	3	52
66	3	52
67	3	52
68	3	51
69	3	51
70	3	51
71	4	51
72	4	51
73	4	51
74	4	51
75	4	51
76	4	51
77	4	51
78	4	50
79	4	50
80	4	50
81	4	50
82	4	50
83	4	50
84	4	50
85	4	50
86	4	50
87	4	49
88	4	49
89	4	49
90	4	49
91	5	49
92	5	49
93	5	49
94	5	49
95	5	49
96	5	49
97	5	48
98	5	48
99	5	48
100	5	48
101	5	48
102	5	48
103	5	48
104	5	48
105	5	48
106	5	48
107	5	48
108	5	48
109	5	48
110	6	48
111	6	48
112	6	47
113	6	47
114	6	47
115	6	47
116	6	47
117	6	47
118	6	47
119	6	47
120	6	47
121	6	47
122	6	46
123	6	46
124	6	46
125	6	46
126	6	46
127	6	46
128	6	46
129	6	46
130	6	46
131	7	46
132	7	46
133	7	45
134	7	45
135	7	45
136	7	45
137	7	45
138	7	45
139	7	45
140	7	45
141	7	45
142	7	45
143	7	45
144	7	44
145	7	44
146	7	44
147	7	44
148	7	44
149	7	44
150	7	44
151	7	44
152	7	44
153	8	44
154	8	44
155	8	43
156	8	43
157	8	43
158	8	43
159	8	43
160	8	43
161	8	43
162	8	43
163	8	43
164	8	43
165	8	43
166	8	43
167	8	43
168	8	43
169	8	43
170	8	43
171	8	42
172	8	42
173	9	42
174	9	42
175	9	42
176	9	42
177	9	42
178	9	42
179	9	42
180	9	42
181	9	42
182	9	42
183	9	42
184	9	42
185	9	42
186	9	41
187	9	41
188	9	41
189	9	41
